,Company,TypeName,Inches,Ram,OpSys,Weight,Cpu_Manufacturer,Cpu_Type,Cpu_GHz,Gpu_Manufacturer,Memory_Type,Memory_Size,Price
0,Apple,Ultrabook,13.3,8,macOS,1.37,Intel,Corei5,2.3,Intel,SSD,128.0,71378.6832
1,Apple,Ultrabook,13.3,8,macOS,1.34,Intel,Corei5,1.8,Intel,Storage,128.0,47895.5232
2,HP,Notebook,15.6,8,No OS,1.86,Intel,Corei5,2.5,Intel,SSD,256.0,30636.0
3,Apple,Ultrabook,15.4,16,macOS,1.83,Intel,Corei7,2.7,AMD,SSD,512.0,135195.33599999998
4,Apple,Ultrabook,13.3,8,macOS,1.37,Intel,Corei5,3.1,Intel,SSD,256.0,96095.808
5,Acer,Notebook,15.6,4,Windows 10,2.1,AMD,A9,3.0,AMD,HDD,500.0,21312.0
6,Apple,Ultrabook,15.4,16,Mac OS X,2.04,Intel,Corei7,2.2,Intel,Storage,256.0,114017.6016
7,Apple,Ultrabook,13.3,8,macOS,1.34,Intel,Corei5,1.8,Intel,Storage,256.0,61735.536
8,Asus,Ultrabook,14.0,16,Windows 10,1.3,Intel,Corei7,1.8,Nvidia,SSD,512.0,79653.59999999999
9,Acer,Ultrabook,14.0,8,Windows 10,1.6,Intel,Corei5,1.6,Intel,SSD,256.0,41025.6
10,HP,Notebook,15.6,4,No OS,1.86,Intel,Corei5,2.5,Intel,HDD,500.0,20986.992
11,HP,Notebook,15.6,4,No OS,1.86,Intel,Corei3,2.0,Intel,HDD,500.0,18381.0672
12,Apple,Ultrabook,15.4,16,macOS,1.83,Intel,Corei7,2.8,AMD,SSD,256.0,130001.6016
13,Dell,Notebook,15.6,4,Windows 10,2.2,Intel,Corei3,2.0,AMD,SSD,256.0,26581.392
14,Apple,Ultrabook,12.0,8,macOS,0.92,Intel,CoreM,1.2,Intel,SSD,256.0,67260.672
15,Apple,Ultrabook,13.3,8,macOS,1.37,Intel,Corei5,2.3,Intel,SSD,256.0,80908.344
16,Dell,Notebook,15.6,8,Windows 10,2.2,Intel,Corei7,2.7,AMD,SSD,256.0,39693.6
17,Apple,Ultrabook,15.4,16,macOS,1.83,Intel,Corei7,2.9,AMD,SSD,512.0,152274.24
18,Lenovo,Notebook,15.6,8,No OS,2.2,Intel,Corei3,2.4,Nvidia,HDD,1024.0,26586.72
19,Dell,Ultrabook,13.3,8,Windows 10,1.22,Intel,Corei5,1.6,Intel,SSD,128.0,52161.12
20,Asus,Netbook,11.6,2,Windows 10,0.98,Intel,Atomx5,1.44,Intel,Storage,32.0,10224.432
21,Lenovo,Gaming,15.6,8,Windows 10,2.5,Intel,Corei5,2.5,Nvidia,HDD,1152.0,53226.72
22,HP,Notebook,15.6,4,No OS,1.86,AMD,E,1.5,AMD,HDD,500.0,13746.24
23,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,Intel,Corei5,1.6,Intel,SSD,256.0,43636.32
24,HP,Ultrabook,15.6,8,Windows 10,1.91,Intel,Corei7,1.8,Intel,SSD,256.0,35111.52
25,Dell,Notebook,15.6,4,Windows 10,2.3,Intel,Corei3,2.0,Intel,HDD,1024.0,22305.1392
26,Apple,Ultrabook,13.3,8,Mac OS X,1.35,Intel,Corei5,1.6,Intel,Storage,128.0,58554.72
27,Dell,Notebook,15.6,8,Windows 10,2.2,Intel,Corei5,1.6,AMD,SSD,256.0,42624.0
28,Dell,Ultrabook,15.6,8,Windows 10,1.88,Intel,Corei7,1.9,Intel,SSD,512.0,69157.44
29,HP,Notebook,17.3,8,Windows 10,2.5,Intel,Corei5,1.6,Nvidia,HDD,1024.0,47738.88
30,Chuwi,Notebook,15.6,4,Windows 10,1.89,Intel,Atomx5,1.44,Intel,Storage,64.0,13053.0672
31,Asus,Notebook,14.0,2,Windows 10,1.65,AMD,E,1.5,AMD,Storage,32.0,10602.72
32,HP,Notebook,17.3,4,Windows 10,2.71,AMD,A6,2.5,AMD,HDD,500.0,23389.92
33,Dell,Ultrabook,13.3,16,Windows 10,1.2,Intel,Corei7,1.8,Intel,SSD,512.0,99580.32
34,Apple,Ultrabook,13.3,8,Mac OS X,1.35,Intel,Corei5,1.6,Intel,Storage,256.0,53173.44
35,Lenovo,Notebook,14.0,4,Windows 10,1.44,Intel,CeleronDual,1.1,Intel,Storage,64.0,13266.72
36,Acer,Notebook,15.6,4,Linux,2.1,Intel,Corei3,2.7,Intel,HDD,1024.0,19553.76
37,Dell,Notebook,17.3,8,Windows 10,2.8,Intel,Corei5,1.6,AMD,HDD,1152.0,52161.12
38,HP,Notebook,15.6,4,Windows 10,1.86,Intel,Corei5,2.5,Intel,HDD,1024.0,26037.4032
39,HP,Notebook,15.6,8,Windows 10,2.1,Intel,Corei5,1.6,Nvidia,SSD,256.0,46833.12
40,Asus,Notebook,15.6,4,Linux,2.0,Intel,Corei3,2.0,Intel,HDD,1024.0,20725.92
41,Dell,Gaming,15.6,16,Windows 10,2.65,Intel,Corei7,2.8,Nvidia,HDD,1280.0,79866.72
